Slide #,Mount Date,Subject,Slide Mount Notation,Scanned
1580,Jul-75,,,X
1581,Jul-75,,,X
1582,Jul-75,,,X
1583,Jul-75,,,X
1584,Jul-75,,,X
1585,Jul-75,,,X
1586,Jul-75,,,X
1587,Jul-75,,,X
1588,Aug-75,,"Dallas, OR",
1589,Aug-75,,"Dallas, OR",
1590,Aug-75,,,X
1591,Aug-75,,,X
1592,Aug-75,,,X
1593,Aug-75,,,X
1594,Oct-75,,,X
1595,Oct-75,,,X
1596,Nov-75,,San Francisco   SF 75,
1597,Nov-75,,SF 75,
1598,Nov-75,,SF 75,
1599,Nov-75,,SF 75,
1600,Nov-75,,SF 75,
1601,Nov-75,,SF 75,
1602,Nov-75,,SF 75,
1603,Nov-75,,Hakone   Saratoga,
1604,Nov-75,,Saratoga,
1605,Nov-75,,Saratoga,
1606,Nov-75,,Saratoga,
1607,Nov-75,,Saratoga,
1608,Nov-75,,Saratoga,
1609,Nov-75,,Saratoga,
1610,Nov-75,,Hakone Saratoga exit gate,
1611,Nov-75,Antique Gate construction,,X
1612,Nov-75,Antique Gate construction,,X
1613,Dec-75,,,X
1614,Dec-75,,,X
1615,Dec-75,,,X
1616,Dec-75,,,X
1617,Dec-75,,,X
1618,Dec-75,,,X
1619,Dec-75,,,X
1620,Dec-75,,,X
1621,Dec-75,,,X
1622,Dec-75,,,X
1623,,,Where?  Postcard   fxx,X
1624,,,,X
1625,Dec-75,,,X
1626,Dec-75,,Kotoji lantern in fall,X
1627,Dec-75,,,X
1628,Dec-75,,,X
1629,Dec-75,,,X
1630,Dec-75,,,X
1631,,,,X
1632,Dec-75,,,X
1633,Dec-75,,,X
1634,Dec-75,,,X
1635,Dec-75,,,X
1636,Dec-75,,,X
1637,Dec-75,,,X
1638,Dec-75,,,X
1639,Dec-75,,,X
1640,Dec-75,,,X
1641,Dec-75,,,X
1642,Dec-75,,,X
1643,Dec-75,,,X
1644,Dec-75,,,X
1645,Dec-75,,,X
1646,Dec-75,,,X
1647,Dec-75,,,X
1648,Dec-75,,,X
1649,Dec-75,,,X
1650,Dec-75,,,X
1651,Dec-75,,,X
1652,Dec-75,,,X
1653,Dec-75,,,X
1654,Dec-75,,,X
1655,Dec-75,,,X
1656,Dec-75,,,X
1657,Dec-75,,,X
1658,Dec-75,,,X
1659,Dec-75,,,X
1660,Dec-75,,,X
1661,Dec-75,,,X
1662,Dec-75,,,X
1663,Dec-75,,,X
1664,Dec-75,,,X
1665,Dec-75,,,X
1666,Dec-75,,,X
1667,Dec-75,,,X
1668,Dec-75,,,X
1669,Dec-75,,,X
1670,Dec-75,,,X
1671,Dec-75,,,X
1672,Dec-75,,,X
1673,Dec-75,,,X
1674,Dec-75,,,X
1675,Dec-75,,,X
1676,Dec-75,,,X
1677,Dec-75,,,X
1678,Dec-75,,Last of fall pictures,X
1679,,,in flyer,X
1680,Dec-75,,,X
1681,Dec-75,,,X
1682,Dec-75,,,X
1683,Dec-75,,,X
1684,Dec-75,,,X
1685,Dec-75,,,X
1686,Dec-75,,,X
1687,Dec-75,,,X
1688,Dec-75,,,X
1689,Jan-76,tea ceremony utensils,,X
1690,Jan-76,tea ceremony utensils,,X
1691,Jan-76,tea ceremony utensils,,X
1692,Jan-76,tea ceremony utensils,,X
1693,Jan-76,tea ceremony utensils,,X
1694,Jan-76,tea ceremony utensils,,X
1695,Jan-76,tea ceremony utensils,,X
1696,Jan-76,tea ceremony utensils,,X
1697,Jan-76,tea ceremony utensils,,X
1698,Jan-76,tea ceremony utensils,,X
1699,Jan-76,tea ceremony utensils,,X
1700,Jan-76,tea ceremony utensils,,X
1701,Jan-76,tea ceremony utensils,,X
1702,Jan-76,tea ceremony utensils,,X
1703,Jan-76,tea ceremony utensils,,X
1704,Jan-76,tea ceremony utensils,,X
1705,Jan-76,tea ceremony utensils,,X
1706,Jan-76,tea ceremony utensils,,X
1707,Jan-76,tea ceremony,,X
1708,Jan-76,tea ceremony,,X
1709,Jan-76,tea ceremony,,X
1710,Jan-76,tea ceremony,,X
1711,Jan-76,tea ceremony utensils,,X
1712,Jan-76,tea ceremony utensils,,X
1713,Jan-76,tea ceremony utensils,,X
1714,Jan-76,tea ceremony utensils,,X
1715,Jan-76,tea ceremony utensils,,X
1716,Jan-76,tea ceremony utensils,,X
1717,Jan-76,tea ceremony utensils,,X
1718,Jan-76,tea ceremony utensils,,X
1719,Jan-76,tea ceremony utensils,,X
1720,Jan-76,tea ceremony utensils,,X
1721,Mar-76,,,X
1722,May-76,Antique Gate construction,,X
1723,May-76,Truck load of camellias,,X
1724,May-76,,,X
1725,May-76,,,X
1726,May-76,,,X
1727,May-76,,,X
1728,May-76,,,X
1729,May-76,,,X
1730,Jul-76,,,X
1731,Jul-76,,,X
1732,Jul-76,,,X
1733,Jul-76,,,X
1734,Jul-76,,,X
1735,Jul-76,,,X
1736,Jul-76,,,X
1737,Jul-76,,,X
1738,Jul-76,,,X
1739,Jul-76,,,X
1740,Jul-76,,,X
1741,Jul-76,,,X
1742,Jul-76,,,X
1743,Jul-76,,,X
1744,Jul-76,,,X
1745,Jul-76,,,X
1746,Jul-76,,,X
1747,Jul-76,,,X
1748,Jul-76,,,X
1749,Jul-76,,,X
1750,Jul-76,,,X
1751,Jul-76,,,X
1752,Jul-76,,,X
1753,Jul-76,,,X
1754,Jul-76,,,X
1755,Jul-76,,,X
1756,Jul-76,,,X
1757,Jul-76,,,X
1758,Jul-76,,,X
1759,Jul-76,,,X
1760,Jul-76,,,X
1761,Jul-76,,,X
1762,Aug-76,,,X
1763,Aug-76,,,X
1764,Aug-76,,,X
1765,Aug-76,,,X
1766,Aug-76,,,X
1767,Aug-76,,,X
1768,Aug-76,,,X
1769,Aug-76,,,X
1770,Aug-76,,,X
1771,Aug-76,,,X
1772,Aug-76,,,X
1773,Aug-76,,,X
1774,Aug-76,,,X
1775,Aug-76,,,X
1776,Aug-76,,,X
1777,Aug-76,,,X
1778,Aug-76,,,X
1779,Aug-76,,,X
1780,Aug-76,,,X
1781,Aug-76,,,X
1782,Aug-76,,,X
1783,Aug-76,,,X
1784,Aug-76,,,X
1785,Aug-76,,,X
1786,Aug-76,,,X
1787,Aug-76,,,X
1788,Aug-76,,,X
1789,Nov-76,,"Bill ""Robbie"" Robinson     Kodak",X
1790,Nov-76,,,X
1791,Nov-76,,,X
1792,Nov-76,,,X
1793,Oct-76,,Oct. 1976  Spokane,X
1794,Oct-76,,Spokane 2,X
1795,Oct-76,,Spokane 3,X
1796,Oct-76,,Spokane 4,X
1797,Oct-76,,Spokane 5,X
1798,Nov-76,,,X
1799,Nov-76,,,X
1800,Nov-76,,,X
1801,Nov-76,,,X
1802,Nov-76,,,X
1803,Nov-76,,,X
1804,Nov-76,,,X
1805,Nov-76,,,X
1806,Nov-76,,,X
1807,Nov-76,,,X
1808,Nov-76,,,X
1809,Nov-76,,,X
1810,Nov-76,,,X
1811,Nov-76,,,X
1812,Nov-76,,,X
1813,Nov-76,,,X
1814,Nov-76,,90-91,X
1815,Nov-76,,,X
1816,Apr-77,,,X
1817,Apr-77,,,X
1818,Apr-77,,,X
1819,Apr-77,,,X
1820,Apr-77,,,X
1821,Apr-77,,,X
1822,Apr-77,,,X
1823,Apr-77,,,X
1824,Apr-77,,,X
1825,Aug-77,,,X
1826,Aug-77,,,X
1827,Aug-77,,,X
1828,Aug-77,,,X
1829,Aug-77,,,X
1830,Aug-77,,,X
1831,Aug-77,,,X
1832,Aug-77,,,X
1833,Aug-77,,,X
1834,Aug-77,,,X
1835,Aug-77,,,X
1836,Aug-77,,,X
1837,Aug-77,,,X
1838,Aug-77,,,X
1839,Aug-77,,,X
1840,Aug-77,,,X
1841,Aug-77,,,X
1842,Aug-77,,,X
1843,Aug-77,,,X
1844,Aug-77,,,X
1845,Aug-77,,Ilex crenata center,X
1846,Aug-77,,,X
1847,Aug-77,,,X
1848,Aug-77,,,X
1849,Aug-77,,,X
1850,Aug-77,,,X
1851,Aug-77,,,X
1852,Aug-77,Mary Hutchins,,X
1853,Aug-77,,,X
1854,Aug-77,,,X
1855,Aug-77,,,X
1856,Aug-77,,,X
1857,Aug-77,,,X
1858,Aug-77,,,X
1859,Aug-77,,,X
1860,Aug-77,,,X
1861,Aug-77,,,X
1862,Aug-77,,,X
1863,Aug-77,,,X
1864,Aug-77,,,X
1865,Aug-77,,,X
1866,Aug-77,,,X
1867,Aug-77,,,X
1868,Aug-77,,,X
1869,Aug-77,,,X
1870,Aug-77,,,X
1871,Aug-77,,,X
1872,Aug-77,,,X
1873,Aug-77,,,X
1874,Aug-77,,,X
1875,Aug-77,,,X
1876,Aug-77,,,X
1877,Aug-77,,,X
1878,Aug-77,,,X
1879,Aug-77,,,X
1880,Aug-77,,,X
1881,Aug-77,,,X
1882,Aug-77,,,X
1883,Aug-77,,,X
1884,Aug-77,,,X
1885,Aug-77,,,X
1886,Aug-77,,,X
1887,Aug-77,,,X
1888,Aug-77,,Japan        Robin,X
1889,Aug-77,,,X
1890,Aug-77,,,X
1891,Aug-77,,,X
1892,Aug-77,,,X
1893,Aug-77,,,X
1894,Aug-77,,,X
1895,Aug-77,,,X
1896,Aug-77,,,X
1897,Aug-77,,,X
1898,Aug-77,,,X
1899,Aug-77,,,X
1900,Aug-77,,,X
1901,Aug-77,,,X
1902,Aug-77,,,X
1903,Aug-77,,,X
1904,Aug-77,,,X
1905,Aug-77,,,X
1906,Aug-77,,,X
1907,Aug-77,,,X
1908,Aug-77,,,X
1909,Aug-77,,,X
1910,Aug-77,,,X
1911,Aug-77,,,X
1912,Aug-77,,,X
1913,Aug-77,,,X
1914,Aug-77,,,X
1915,Aug-77,,,X
1916,Aug-77,,,X
