Slide #,Slide Mount Date,Subject,Slide Mount Notation,Scanned
5712,Mar-87,,,X
5713,Mar-87,,,X
5714,Mar-87,,,X
5715,Mar-87,,,X
5716,Mar-87,,fog maple,X
5717,Mar-87,,,X
5718,Mar-87,,,X
5719,Mar-87,,,X
5720,Mar-87,,,X
5721,Mar-87,,,X
5722,Mar-87,,,X
5723,Mar-87,,,X
5724,Mar-87,,,X
5725,Mar-87,,,X
5726,Mar-87,,,X
5727,Mar-87,,,X
5728,Mar-87,,,X
5729,Mar-87,,,X
5730,Mar-87,,,X
5731,Mar-87,,,X
5732,Aug-87,,,X
5733,Aug-87,,,X
5734,Aug-87,,,X
5735,Aug-87,,detail,X
5736,Aug-87,,,X
5737,Aug-87,,,X
5738,Aug-87,,,X
5739,Aug-87,,,X
5740,Aug-87,,,X
5741,Aug-87,,,X
5742,Aug-87,,,X
5743,Aug-87,,,X
5744,Aug-87,,XXX,X
5745,Aug-87,,,X
5746,Aug-87,,,X
5747,Aug-87,,,X
5748,Aug-87,,,X
5749,Aug-87,,,X
5750,Aug-87,,poetry stone,X
5751,Aug-87,,,X
5752,Apr-04,,,X
5753,Aug-87,,,X
5754,Aug-87,,,X
5755,Aug-87,,,X
5756,Aug-87,,,X
5757,Aug-87,,,X
5758,Aug-87,,,X
5759,Aug-87,,,X
5760,Aug-87,,,X
5761,Aug-87,,,X
5762,Aug-87,,,X
5763,Aug-87,,,X
5764,Aug-87,,,X
5765,Aug-87,,,X
5766,Aug-87,,,X
5767,Aug-87,,San Francisco Golden Gate park Japanese Garden,
5768,Aug-87,San Francisco Golden Gate park Japanese Garden,,
5769,Aug-87,San Francisco Golden Gate park Japanese Garden,,
5770,Aug-87,San Francisco Golden Gate park Japanese Garden,,
5771,Aug-87,San Francisco Golden Gate park Japanese Garden,,
5772,Aug-87,San Francisco Golden Gate park Japanese Garden,,
5773,Aug-87,San Francisco Golden Gate park Japanese Garden,,
5774,Aug-87,San Francisco Golden Gate park Japanese Garden,,
5775,Aug-87,San Francisco Golden Gate park Japanese Garden,,
5776,Aug-87,San Francisco Golden Gate park Japanese Garden,,
5777,Aug-87,San Francisco Golden Gate park Japanese Garden,,
5778,Aug-87,San Francisco Golden Gate park Japanese Garden,,
5779,Aug-87,San Francisco Golden Gate park Japanese Garden,,
5780,Aug-87,San Francisco Golden Gate park Japanese Garden,,
5781,Aug-87,San Francisco Golden Gate park Japanese Garden,,
5782,Aug-87,San Francisco Golden Gate park Japanese Garden,,
5783,Aug-87,San Francisco Golden Gate park Japanese Garden,,
5784,Aug-87,San Francisco Golden Gate park Japanese Garden,,
5785,Oct-87,"new garden house, antique car",,X
5786,Oct-87,"new garden house, antique car",,X
5787,Oct-87,"new garden house, antique car",,X
5788,Oct-87,new garden house ,,X
5789,Sep-87,new garden house ,,X
5790,Oct-87,,"Hayward, CA",
5791,Oct-87,"Hayward, CA   ?",,
5792,Oct-87,"Hayward, CA   ?",,
5793,Oct-87,"Hayward, CA   ?",,
5794,Oct-87,"Hayward, CA   ?",,
5795,Oct-87,"Hayward, CA   ?",,
5796,Oct-87,"Hayward, CA   ?",,
5797,Oct-87,"Hayward, CA   ?",,
5798,Oct-87,"Hayward, CA   ?",,
5799,Oct-87,"Hayward, CA   ?",,
5800,Oct-87,"Hayward, CA   ?",,
5801,Oct-87,"Hayward, CA   ?",,
5802,Oct-87,"Hayward, CA   ?",,
5803,Oct-87,"Hayward, CA   ?",,
5804,Oct-87,"Hayward, CA   ?",,
5805,Oct-87,"Hayward, CA   ?",,
5806,Oct-87,"Hayward, CA   ?",,
5807,Oct-87,"Hayward, CA   ?",,
5808,Oct-87,"Hayward, CA   ?",,
5809,Oct-87,"Hayward, CA   ?",,
5810,Oct-87,"Hayward, CA   ?",,
5811,Oct-87,"Hayward, CA   ?",,
5812,Oct-87,"Hayward, CA   ?",,
5813,Oct-87,"Hayward, CA   ?",,
5814,Oct-87,"Hayward, CA   ?",,
5815,Oct-87,"Hayward, CA   ?",,
5816,Oct-87,"Hayward, CA   ?",,
5817,Nov-87,,Berkley Botanical Garden,
5818,Nov-87,Berkley Botanical Garden  ?,,
5819,Nov-87,Berkley Botanical Garden  ?,,
5820,Nov-87,Berkley Botanical Garden  ?,,
5821,Nov-87,Berkley Botanical Garden  ?,,X
5822,Nov-87,,,X
5823,Nov-87,,,X
5824,Nov-87,,,X
5825,Nov-87,,,X
5826,Nov-87,,,X
5827,Nov-87,,,X
5828,Nov-87,,,X
5829,Nov-87,,,X
5830,Mar-88,,,X
5831,Mar-88,,fall 87,X
5832,Mar-88,,,X
5833,Mar-88,,,X
5834,Mar-88,,,X
5835,Mar-88,,,X
5836,Mar-88,,,X
5837,Mar-88,,,X
5838,Mar-88,,,X
5839,Mar-88,,,X
5840,Mar-88,,,X
5841,Mar-88,,,X
5842,Mar-88,,,X
5843,Mar-88,,,X
5844,Mar-88,,,X
5845,Mar-88,,,X
5846,Mar-88,,,X
5847,Mar-88,,,X
5848,Mar-88,,,X
5849,Mar-88,,,X
5850,Mar-88,,,X
5851,Mar-88,,,X
5852,Mar-88,,,X
5853,Mar-88,,,X
5854,Mar-88,,,X
5855,Mar-88,,,X
5856,Mar-88,,Seattle Japanese Garden,
5857,Mar-88,Seattle Japanese Garden,,
5858,Mar-88,Seattle Japanese Garden,,
5859,Mar-88,Seattle Japanese Garden,,
5860,Mar-88,Seattle Japanese Garden,,
5861,Mar-88,Seattle Japanese Garden,,X
5862,Dec-87,,XXXXX,X
5863,Dec-87,,,X
5864,Dec-87,,,X
5865,Dec-87,,,X
5866,Dec-87,,XX ,X
5867,Dec-87,,XXX ,X
5868,Dec-87,,,X
5869,Dec-87,,,X
5870,Dec-87,,,X
5871,Dec-87,,,X
5872,Dec-87,,,X
5873,Dec-87,,,X
5874,Dec-87,,,X
5875,Dec-87,,,X
5876,Dec-87,,XX,X
5877,Dec-87,,XXX,X
5878,Dec-87,,,X
5879,Dec-87,,,X
5880,Dec-87,,,X
5881,Dec-87,,XX,X
5882,Dec-87,,,X
5883,Dec-87,,,X
5884,Dec-87,,,X
5885,Dec-87,,XX,X
5886,Dec-87,,XXX,X
5887,Feb-88,,,X
5888,Feb-88,,,X
5889,Feb-88,,,X
5890,Feb-88,,,X
5891,Feb-88,,,X
5892,Feb-88,,,X
5893,Feb-88,,,X
5894,Feb-88,,,X
5895,Feb-88,,,X
5896,Feb-88,,,X
5897,Feb-88,,,X
5898,Feb-88,,,X
5899,Feb-88,,,X
5900,Feb-88,,,X
5901,Feb-88,,,X
5902,Feb-88,,,X
5903,Feb-88,,,X
5904,Feb-88,,,X
5905,Mar-88,,,X
5906,Mar-88,,,X
5907,Mar-88,,,X
5908,Mar-88,,,X
5909,Mar-88,,,X
5910,Mar-88,,,X
5911,Mar-88,,,X
5912,Mar-88,,,X
5913,Mar-88,,Natural 'waterscape' garden,X
5914,Mar-88,,,X
5915,Mar-88,,,X
5916,Mar-88,,,X
5917,Mar-88,,,X
5918,Feb-88,,,X
5919,Feb-88,,,X
5920,Feb-88,,,X
