time,cloudCover,windBearing
1486663200,0.82,153
1486674000,0.31,198
1486677600,0,201
1486681200,0.31,193
1486684800,0.54,192
1486688400,0.31,192
1486692000,0.31,203
1486695600,0.05,202
1486699200,0.31,194
1486702800,0.31,179
1486706400,0.23,180
1486710000,0.31,187
1486728000,0.38,164
1486731600,0.26,158
1486735200,0.31,171
1486738800,0.31,178
1486742400,0.31,174
1486746000,0.31,177
1486749600,0.63,175
1486753200,0.31,181
1486764000,0.31,189
1486767600,0.31,193
1486771200,0.43,195
1486774800,0.21,208
1486778400,0.2,198
1486782000,0.24,190
1486785600,0.27,186
1486789200,0.17,192
1486792800,0.38,191
1486796400,0.13,182
1486800000,0.08,185
1486803600,0,191
1486807200,0.18,192
1486810800,0.09,191
1486814400,0.36,193
1486818000,0.19,180
1486821600,0.23,168
1486825200,0.2,183
1486828800,0.2,174
1486832400,0.15,177
1486836000,0.24,189
1486839600,0.21,193
1486843200,0.31,191
1486846800,0.24,197
1486850400,0.21,183
1486854000,0.31,169
1486857600,0.5,166
1486861200,0.15,115
1486864800,0.09,96
1486868400,0.04,102
1486872000,0.03,142
1486875600,0,121
1486879200,0.11,131
1486882800,0,135
1486886400,0,119
1486890000,0.05,100
1486893600,0,116
1486897200,0,103
1486900800,0.11,81
1486904400,0.05,59
1486908000,0.07,33
1486911600,0.03,113
1486915200,0.11,324
1486918800,0.19,55
1486922400,0.24,359
1486926000,0.05,357
1486929600,0.07,349
1486933200,0.03,340
1486936800,0.12,336
1486940400,0.12,342
1486944000,0.05,324
1486947600,0.05,336
1486951200,0.05,352
1486954800,0,356
1486958400,0,334
1486962000,0,347
1486965600,0,357
1486969200,0,12
1486972800,0,354
1486976400,0,355
1486980000,0,5
1486983600,0,16
1486987200,0.02,16
1486990800,0.15,15
1486994400,0.16,7
1486998000,0.06,9
1487001600,0.09,9
1487005200,0.09,9
1487008800,0.05,357
1487012400,0.05,1
1487016000,0.12,345
1487019600,0.12,350
1487023200,0.05,342
1487026800,0.05,349
1487030400,0.05,339
1487034000,0,343
1487037600,0,61
1487041200,0,15
1487044800,0,155
1487048400,0,34
1487052000,0.05,155
1487055600,0,162
1487059200,0,143
1487062800,0,140
1487066400,0,149
1487070000,0,111
1487073600,0.05,125
1487077200,0,161
1487080800,0,146
1487084400,0,148
1487088000,0,151
1487091600,0,154
1487095200,0.2,164
1487098800,0,156
1487102400,0,180
1487106000,0,157
1487109600,0,176
1487113200,0,168
1487116800,1,153
1487138400,1,153
1487160000,1,133
1487181600,1,148
1487203200,1,138
1487224800,1,135
1487242800,0.31,157
1487246400,1,203
1487253600,0.09,181
1487257200,0.13,180
1487260800,0.23,182
1487264400,0.31,179
1487268000,0.27,176
1487271600,0.31,176
1487275200,0.21,191
1487278800,0.31,197
1487282400,0.2,189
1487286000,0.04,193
1487289600,0.26,184
1487293200,0,199
1487296800,0.11,208
1487300400,0,202
1487304000,0.24,205
